cycle,controlled_error,open_loop_error,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_vc1_v,open_vc2_v,open_il_a,offset_1_us,offset_2_us,offset_3_us,offset_4_us,offset_5_us,offset_6_us,offset_7_us,offset_8_us,dwell_1_us,dwell_2_us,dwell_3_us,dwell_4_us,dwell_5_us,dwell_6_us,dwell_7_us,dwell_8_us,dwell_9_us
107,2.85659693933067e-05,0.0524663957595371,9.92464072753986,19.2922472633262,0.982304133737502,10.3961926225999,18.8330112286636,0.983374926377689,-0.000503166284394156,0.00028624779918825,0.000258169548280877,0.000252301233064344,-0.000306811480994872,0.000248895579510642,-0.000214856070704193,0.000226400839714402,63.8886803398346,23.6683887899626,21.9999719217491,22.9812711011858,21.9994408872859,63.6725639649855,22.1696255789748,23.4478686480624,22.1721887679593
108,2.68939333331421e-05,0.052514134277849,9.92464419690607,19.2922796162905,0.982303891758539,10.3969528202333,18.8339545002332,0.983376594226412,-0.000473714820338935,0.000269493030108312,0.000243058246446275,0.000237533524974464,-0.000288853070193968,0.000234327100842744,-0.000202280103690075,0.000213149131713591,63.8887097912987,23.6683425837295,21.9999735652164,22.9812714447795,21.9994736134048,63.672531438096,22.1696527234204,23.4478428203874,22.1722020196673
109,2.53197662301539e-05,0.0525617770239652,9.92464746320119,19.2923100755521,0.982303663945678,10.3977110779242,18.8348991522527,0.983378257672195,-0.000445987223016399,0.000253718964198008,0.000228831451034413,0.000223630202268038,-0.00027194581502405,0.000220611356175705,-0.000190440232639602,0.000200673072340722,63.888737518896,23.6682990820662,21.9999751124868,22.9812717682522,21.9995044239827,63.6725008150962,22.1696782790362,23.447818504457,22.1722144957267
110,2.3837739471993e-05,0.0526093234928679,9.9246505383114,19.2923387519551,0.982303449469457,10.3984673935057,18.8358451808835,0.98337991671033,-0.000419882589587371,0.000238868197279149,0.000215437389068353,0.000210540670303537,-0.000256028187477938,0.000207698432225811,-0.000179293372691254,0.00018892726162903,63.8887636235294,23.6682581266659,21.9999765691918,22.9812720727822,21.9995334311423,63.6724719845447,22.1697023388201,23.4477956117863,22.1722262415374
111,2.24424597697709e-05,0.0526567731820962,9.9246534334272,19.292365749856,0.982303247548999,10.3992217648184,18.8367925822833,0.983381571336125,-0.000395305923425896,0.000224886685394938,0.000202827318011045,0.000198217295954566,-0.000241042261159175,0.000195541337298092,-0.000168798960744046,0.00017786895687845,63.8887882001956,23.6682195684878,21.9999779406326,22.9812723594789,21.9995607404429,63.6724448415234,22.1697249903269,23.4477740590696,22.1722372998421
112,2.11288495288101e-05,0.0527041255917375,9.9246561590841,19.2923911675023,0.982303057449159,10.399974189711,18.8377413526062,0.983383221544905,-0.000372167788390733,0.000211723548081366,0.000190955348395643,0.000186615234230345,-0.000226933500422183,0.000184095830288254,-0.000158918807876234,0.000167457917143757,63.8888113383306,23.6681832672155,21.9999792318003,22.9812726293868,21.9995864512654,63.6724192872557,22.1697463159868,23.4477537678771,22.1722477108819
113,1.98921283699492e-05,0.0527513802244158,9.92465872520099,19.292415097391,0.98230287847785,10.4007246660395,18.838691488002,0.983384867332012,-0.000350383983362345,0.000199330883175581,0.00017977827684667,0.000175692265065557,-0.000213650561877855,0.000173320259701878,-0.000149616960409693,0.000157656256832981,63.8888331221356,23.6681490907455,21.9999804473937,22.9812728834892,21.9996106571731,63.6723952287465,22.1697663934049,23.4477346643692,22.1722575125422
114,1.87277957294287e-05,0.0527985365852822,9.92466114111615,19.2924376266049,0.982302709983516,10.4014731916678,18.8396429846173,0.983386508692807,-0.000329875235774182,0.000187663592457258,0.000169255428824652,0.000165408639658444,-0.000201145107509291,0.000163175412046939,-0.000140859569058206,0.000148428307824242,63.8888536308832,23.6681169147072,21.9999815918364,22.9812731227118,21.9996334462528,63.6723725784445,22.1697852956439,23.4477166790289,22.1722667404912
115,1.76316144813388e-05,0.052845594182004,9.92466341562133,19.2924588371294,0.982302551352758,10.4022197644675,18.8405958385943,0.983388145622666,-0.0003105669131535,0.000176679217527388,0.000159348510621058,0.000155726935828886,-0.000189371628760782,0.000153624369144839,-0.00013261476577348,0.000139740489693972,63.8888729392058,23.6680866220097,21.9999826692931,22.9812733479262,21.9996549014354,63.6723512539229,22.1698030914901,23.4476997464075,22.1722754283093
116,1.65995955158722e-05,0.0528925525247553,9.92466555699366,19.292478806151,0.982302402008099,10.4029643823179,18.841550046072,0.983389778116984,-0.000292388751500887,0.000166337785262094,0.000150021469994326,0.000146611921818416,-0.000178287280889803,0.000144632373772086,-0.000124852547786072,0.000131561187526555,63.8888911173675,23.6680581024158,21.9999836836847,22.9812735599528,21.9996751007973,63.6723311775796,22.1698198457034,23.4476838048873,22.1722836076115
117,1.56279832218995e-05,0.0529394111262052,9.92466757302576,19.2924976063384,0.982302261405879,10.4037070431061,18.8425056031853,0.983391406171175,-0.000275274599592869,0.000156601662326276,0.000141240364980281,0.000138030428069817,-0.000167851727029747,0.000136166703183114,-0.000117544668443573,0.000123860636886598,63.8889082315194,23.6680312521409,21.9999846387027,22.9812737595641,21.9996941178449,63.6723122763552,22.1698356192534,23.4476687964573,22.1722913081622
118,1.47132418192484e-05,0.0529861695015093,9.92466947105418,19.2925153061064,0.982302129034272,10.4044477447266,18.8434625060654,0.983393029780667,-0.000259162178244492,0.000147435418227772,0.000132973240356366,0.000129951226531751,-0.000158026991405564,0.000128196550011187,-0.000110664534407142,0.000116610815491417,63.8889243439407,23.6680059734755,21.9999855378221,22.9812739474872,21.9997120217821,63.6722944814664,22.1698504695406,23.4476546665019,22.1722985579835
119,1.38520424896394e-05,0.0530328271682989,9.92467125798601,19.2925319698657,0.982302004411425,10.4051864850821,18.8444207508399,0.983394648940909,-0.000243992853646058,0.000138805696353291,0.000125190011344781,0.000122344917001577,-0.000148777321105515,0.000120692910148778,-0.000104187108882671,0.000109785341242211,63.8889395132653,23.667982174429,21.999986384315,22.9812741244066,21.9997288777619,63.6722777281562,22.169864450606,23.4476413636022,22.1723053834578
120,1.30412512632758e-05,0.0530793836466713,9.92467294032407,19.2925476582563,0.982301887083699,10.4059232620827,18.8453803336327,0.983396263647364,-0.000229711424008688,0.00013068109258354,0.000117862354138053,0.000115183820148252,-0.000140069055976291,0.000113628477205057,-9.80888205271223e-05,0.000103359376235398,63.888953794695,23.6679597683956,21.9999871812616,22.981274290967,21.9997447471239,63.6722619554581,22.1698776133272,23.4476288393488,22.1723118094228
121,1.22779176124812e-05,0.0531258384591796,9.92467452419052,19.2925624283693,0.982301776624018,10.4066580736465,18.8463412505639,0.983397873895516,-0.000216265918653266,0.000123032040974167,0.000110963602832238,0.000108441876750032,-0.000131870506092308,0.000106977543142219,-9.23474776795924e-05,9.73095363849821e-05,63.8889672402003,23.6679386738386,21.9999879315619,22.9812744477749,21.9997596876172,63.6722471059742,22.1698900056042,23.4476170481661,22.1723178592626
122,1.1559263714401e-05,0.0531721911308227,9.9246760153492,19.2925763339537,0.982301672630312,10.4073909176991,18.8473034977499,0.983399479680864,-0.000203607408896583,0.000115830706200864,0.000104468652350472,0.000102094552914766,-0.000124151836472607,0.000100715904683765,-8.69421875805279e-05,9.16138063009799e-05,63.8889798987101,23.6679188139941,21.9999886379462,22.9812745954016,21.9997737536106,63.6722331256661,22.1699016725327,23.4476059471459,22.1723235549927
123,1.08826743414681e-05,0.0532184411890359,9.92467741922656,19.2925894256125,0.982301574724052,10.4081217921739,18.8482670713037,0.983401080998926,-0.000191689829987283,0.000109050882215621,9.83538671157382e-05,9.61187507554172e-05,-0.000116884958458457,9.48207752693069e-05,-8.18532803805965e-05,8.62514592148271e-05,63.888991816289,23.6679001165912,21.9999893029849,22.9812747343846,21.9997869962908,63.6722199636587,22.1699126565693,23.4475954958916,22.1723289173398
124,1.02456873444751e-05,0.0532645881636807,9.92467874093142,19.2926017509869,0.982301482548873,10.4088506950123,18.8492319673344,0.983402677845236,-0.000180469813471196,0.000102667896915808,9.25969950070055e-05,9.04927243680675e-05,-0.000110043427532506,8.92707021001829e-05,-7.70622375250998e-05,8.12029815158305e-05,63.8890030363055,23.6678825135894,21.9999899290981,22.9812748652304,21.9997994638481,63.6722075720546,22.1699229976854,23.4475856563711,22.1723339658175
125,9.64598469173564e-06,0.0533106315870342,9.92467998527359,19.2926133549293,0.982301395769275,10.4095776241632,18.8501981819476,0.983404270215346,-0.000169906529368906,9.66585223233798e-05,8.71770864023297e-05,8.51960006736315e-05,-0.000103602347046648,8.4045488091116e-05,-7.25516243998929e-05,7.64500017775628e-05,63.8890135995896,23.6678659409307,21.9999905185641,22.9812749884153,21.9998112016523,63.6721959057601,22.1699327335125,23.4475763927782,22.1723387187972
126,9.08138403291282e-06,0.053356570993782,9.9246811567813,19.2926242796669,0.982301314069402,10.4103025775834,18.8511657112451,0.983405858104828,-0.00015996153758037,9.10008900552196e-05,8.20744179301573e-05,8.02093049144165e-05,-9.75382776196232e-05,7.9126118360232e-05,-6.83050268750291e-05,7.19752238918287e-05,63.8890235445814,23.6678503383066,21.9999910735279,22.981275104388,21.9998222524175,63.6721849223209,22.1699418994798,23.4475676714028,22.1723431935751
127,8.54983075797705e-06,0.053402405921006,9.92468225971778,19.2926345649553,0.982301237151887,10.4110255532374,18.8521345513254,0.983407441509268,-0.000150598648016463,8.56744117681763e-05,7.72704206832217e-05,7.55144905427723e-05,-9.18291518661421e-05,7.44946910205083e-05,-6.43069915659703e-05,6.77623641198613e-05,63.889032907471,23.6678356489388,21.9999915960089,22.9812752135709,21.9998326563576,63.6721745817678,22.1699505289424,23.4475594605077,22.1723474064349
