controlled_time_s,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_time_s,open_vc1_v,open_vc2_v,open_il_a
0.0276017380598515,10.7673518835313,19.5111003390933,0.992857982267994,0.0276017380598515,7.80861193719187,20.217932916035,0.996554586852487
0.0276024713931848,10.7855534754418,19.4928987471827,0.992769792008478,0.0276024713931848,7.82688373878933,20.1996611144375,0.996732391768095
0.0276032047265182,10.8037534266594,19.4746987959652,0.992678997929605,0.0276032047265182,7.84515877438776,20.1813860788391,0.99690738722164
0.0276039380598515,10.8219516894669,19.4565005331577,0.992585602184187,0.0276039380598515,7.8634369924949,20.163107860732,0.997079574802269
0.0276046713931848,10.8401482161869,19.4383040064377,0.992489606930454,0.0276046713931848,7.8817183416477,20.1448265115791,0.99724895610551
0.0276054047265182,10.8583429591816,19.4201092634429,0.992391014332037,0.0276054047265182,7.90000277041242,20.1265420828144,0.997415532733266
0.0276061380598515,10.876535870853,19.4019163517716,0.992289826557966,0.0276061380598515,7.91829022738473,20.1082546258421,0.997579306293803
0.0276068713931848,10.8947269036426,19.3837253189819,0.992186045782655,0.0276068713931848,7.93658066118987,20.089964192037,0.997740278401741
0.0276076047265182,10.9129160100322,19.3655362125923,0.992079674185893,0.0276076047265182,7.95487402048271,20.0716708327441,0.99789845067805
0.0276083380598515,10.9311031425433,19.3473490800812,0.991970713952836,0.0276083380598515,7.97317025394792,20.0533745992789,0.998053824750036
0.0276090713931848,10.9492882537378,19.3291639688868,0.991859167273997,0.0276090713931848,7.99146931030006,20.0350755429268,0.998206402251331
0.0276098047265182,10.9674712962174,19.3109809264071,0.991745036345232,0.0276098047265182,8.00977113828367,20.0167737149432,0.998356184821889
0.0276105380598515,10.9856522226246,19.2928,0.991628323367738,0.0276105380598515,8.02807568667345,19.9984691665534,0.998503174107974
0.0276126604601268,10.9856522226246,19.2928,0.989525922998027,0.0276126604601268,8.02807568667345,19.9984691665534,0.996386198026379
0.027614782860402,10.9856522226246,19.2928,0.98742798003157,0.027614782860402,8.02807568667345,19.9984691665534,0.994273710250726
0.0276169052606773,10.9856522226246,19.2928,0.985334485018004,0.0276169052606773,8.02807568667345,19.9984691665534,0.992165701265136
0.0276190276609526,10.9856522226246,19.2928,0.983245428527004,0.0276190276609526,8.02807568667345,19.9984691665534,0.990062161573904
0.0276211500612278,10.9856522226246,19.2928,0.981160801148239,0.0276211500612278,8.02807568667345,19.9984691665534,0.987963081701457
0.0276232724615031,10.9856522226246,19.2928,0.979080593491328,0.0276232724615031,8.02807568667345,19.9984691665534,0.985868452192312
0.0276253948617783,10.9856522226246,19.2928,0.977004796185799,0.0276253948617784,8.02807568667345,19.9984691665534,0.983778263611034
0.0276275172620536,10.9856522226246,19.2928,0.974933399881048,0.0276275172620536,8.02807568667345,19.9984691665534,0.981692506542191
0.0276296396623289,10.9856522226246,19.2928,0.972866395246295,0.0276296396623289,8.02807568667345,19.9984691665534,0.979611171590314
0.0276317620626041,10.9856522226246,19.2928,0.970803772970543,0.0276317620626041,8.02807568667345,19.9984691665534,0.977534249379853
