cycle,time_s,normalized_error,vc1_v,vc2_v,il_a
30737,8.790782,0.00158358951788902,9.91995168316193,19.2625860902608,0.982290524826838
30831,8.817666,0.00151887282776145,9.92535764680484,19.2624510781174,0.9823026504944
30926,8.844836,0.00159090981452884,9.93064677732937,19.2632897111962,0.982314476487712
31021,8.872006,0.00176421531313391,9.93559599980039,19.2650541745531,0.982325504514642
31117,8.899462,0.0019871024800771,9.94009949720283,19.2676932604734,0.982335499312544
31213,8.926918,0.0022122818641441,9.94396935671948,19.271082080648,0.982344044411067
31309,8.954374,0.00240891817599552,9.94709645653334,19.2750880459976,0.982350900291557
31405,8.98183,0.00255767874802282,9.94939916863694,19.2795620605227,0.98235588971747
31502,9.009572,0.00264776944749454,9.95083539739691,19.2843947347554,0.982358922547161
31598,9.037028,0.00267170166751034,9.95135354055402,19.289319176142,0.982359893427895
31696,9.065056,0.0026282089565238,9.95096452892776,19.2943187949501,0.982358827509956
31793,9.092798,0.00252076581009642,9.94970546331063,19.2990741502596,0.982355820353449
31891,9.120826,0.00235436456023206,9.94761903211421,19.303525935195,0.982350969966026
31989,9.148854,0.00214115414140074,9.94480888492801,19.3074817823937,0.982344516189369
32088,9.177168,0.00189465469765707,9.94135459394419,19.3108512478342,0.982336640932939
32186,9.205196,0.00164237840102979,9.9374616331618,19.3134692093262,0.982327811277997
32285,9.23351,0.00141091017932633,9.93320064434489,19.3153186789231,0.982318186265128
32385,9.26211,0.00124356987989996,9.92872247367113,19.3163337832407,0.982308106651453
32484,9.290424,0.0011849356919219,9.92427780604035,19.3164836368906,0.982298135681631
32584,9.319024,0.00124443662019441,9.91993573844615,19.3157913609391,0.982288427378573
32685,9.34791,0.00139168771057899,9.91585317157838,19.3142821210211,0.982279332546162
32785,9.37651,0.00157455606416689,9.91224719093015,19.3120632344902,0.982271333742192
32886,9.405396,0.00175693349915917,9.90916376433404,19.3091928171945,0.982264531776816
32987,9.434282,0.00191097534395855,9.90673659853434,19.3058127001134,0.982259220931181
33089,9.463454,0.00202167346257505,9.90502118761098,19.3020223360617,0.982255521771949
33191,9.492626,0.00207825639436078,9.90408623296409,19.2980046527475,0.982253581242601
33293,9.521798,0.00207698715386415,9.9039428419289,19.2939152870079,0.982253418215415
33395,9.55097,0.00201844276269575,9.90457247311191,19.2899078406104,0.982254985167619
33498,9.580428,0.00190568713276494,9.90594518695539,19.2860927806538,0.982258210692669
33601,9.609886,0.00174735656741098,9.90798422285164,19.2826470165648,0.982262915834286
33704,9.639344,0.00155594100095149,9.91059232578733,19.2796894073562,0.982268877936184
33808,9.669088,0.0013471073549532,9.91368524223479,19.2772968548202,0.982275905117878
33912,9.698832,0.00114830313827278,9.91710704747655,19.2755743994104,0.982283643718189
34016,9.728576,0.000994902684760472,9.92071595763238,19.2745677456083,0.982291774079656
34121,9.758606,0.000925751552440671,9.92440219273008,19.2742945516919,0.982300049385933
34226,9.788636,0.000960225595966551,9.927985817066,19.2747555859731,0.982308066182569
34331,9.818666,0.00107374074387175,9.93132946729085,19.2759100028569,0.982315518076956
34437,9.848982,0.00122400146235574,9.93433572663325,19.2777107326393,0.982322188479855
34543,9.879298,0.00137332152302118,9.93686285422822,19.2800580854519,0.982327763464265
34649,9.909614,0.00149802886336285,9.93882485889582,19.2828411527933,0.982332054531432
34756,9.940216,0.00158473116551173,9.94017051916488,19.2859653325829,0.982334950506127
34863,9.970818,0.00162441892206464,9.94084387845914,19.2892690687231,0.982336332191241
34970,10.00142,0.00161430903265866,9.94083875979324,19.2926121963075,0.982336191169049
35078,10.032308,0.00155483025922011,9.94016764868263,19.2958868242847,0.982334559613458
35186,10.063196,0.00145074404095376,9.93887656229393,19.2989290740384,0.982331547047495
35294,10.094084,0.00131060900984387,9.93703879812576,19.3016202056841,0.98232732240891
35402,10.124972,0.00114713020569762,9.9347479852848,19.3038598234649,0.982322099509083
35511,10.156146,0.000977016397455448,9.93208792585927,19.3055826186769,0.982316068767116
35621,10.187606,0.000827370599355044,9.9291743273345,19.3067177002837,0.982309492351893
35730,10.21878,0.000736044694653668,9.92619033203503,19.3072158683803,0.982302782783985
35840,10.25024,0.000729591334085275,9.92321285848254,19.3070852721483,0.982296112202715
35950,10.2817,0.000802494624697649,9.92039596625202,19.3063446968647,0.982289825289285
36061,10.313446,0.000919616974313282,9.91783405543054,19.3050316253271,0.982284132240868
36172,10.345192,0.00104404195819075,9.91565657858525,19.3032261449674,0.982279320193094
36283,10.376938,0.00115155860242838,9.91394626011187,19.3010234109612,0.982275570930865
36395,10.40897,0.00122848217197838,9.91275452231796,19.2985094617104,0.982272996411538
36507,10.441002,0.00126594263629272,9.91213438713969,19.2958241808121,0.982271710092419
